iter	Logloss
0	0.6740265321
1	0.6553533747
2	0.6407342118
3	0.6259780627
4	0.6096845048
5	0.5954036927
6	0.587100254
7	0.5727122875
8	0.5626425582
9	0.5504695592
10	0.5398411697
11	0.5294217742
12	0.5197059546
13	0.5101499236
14	0.5019387234
15	0.493661559
16	0.4883139107
17	0.4810791016
18	0.4741644699
19	0.4676210639
20	0.4616741223
21	0.4559955383
22	0.4504142075
23	0.4461949381
24	0.4419664533
25	0.4369881448
26	0.4321149333
27	0.4286811057
28	0.4240934393
29	0.4208607191
30	0.41786271
31	0.4154209608
32	0.4117942553
33	0.4090578744
34	0.4073269876
35	0.4045891065
36	0.4016984232
37	0.3992810624
38	0.3967736062
39	0.3945532809
40	0.3922490324
41	0.3905643506
42	0.388425677
43	0.387322458
44	0.3850164521
45	0.3828614481
46	0.3815090308
47	0.3800453443
48	0.379136632
49	0.3783697493
50	0.376168326
51	0.3747213557
52	0.3731943195
53	0.3720821852
54	0.3708957715
55	0.3698285564
56	0.36853816
57	0.3682475572
58	0.3673835497
59	0.3662654577
60	0.3654090796
61	0.3643827974
62	0.3629208683
63	0.3621906752
64	0.3607599494
65	0.3596652599
66	0.3589732138
67	0.3579381021
68	0.3572946184
69	0.3564030937
70	0.3553316781
71	0.3547211122
72	0.3536460319
73	0.3525449774
74	0.3513615855
75	0.3509703218
76	0.3500650384
77	0.3490852827
78	0.3485511823
79	0.3475226713
80	0.3470465199
81	0.3461932493
82	0.3454399752
83	0.3446191938
84	0.3437595582
85	0.3430606542
86	0.3425829384
87	0.3417147947
88	0.3404447148
89	0.3400589589
90	0.3392223401
91	0.3388529574
92	0.3382910825
93	0.3377390015
94	0.3370991396
95	0.3367412867
96	0.3362559201
97	0.3355394213
98	0.3347271694
99	0.3335452991
100	0.3330210996
101	0.3326220137
102	0.3322399011
103	0.331585209
104	0.3310609667
105	0.3303285663
106	0.3295293229
107	0.3293364021
108	0.3286156815
109	0.3281242499
110	0.327894918
111	0.3271592815
112	0.326870629
113	0.3259668672
114	0.3256668562
115	0.3252595623
116	0.3250857578
117	0.3243524573
118	0.323950371
119	0.3233993616
120	0.3230801486
121	0.3227865026
122	0.3223023147
123	0.3216621313
124	0.3214761541
125	0.3206326131
126	0.3204373778
127	0.31976927
128	0.3193132422
129	0.3187301721
130	0.3183561818
131	0.3176769299
132	0.3172848734
133	0.3170610492
134	0.3164412252
135	0.315796027
136	0.3154102711
137	0.3150231436
138	0.3142945793
139	0.3137734874
140	0.3136101626
141	0.3134938787
142	0.3131753729
143	0.3130921996
144	0.3128185058
145	0.3123430402
146	0.3120771687
147	0.3114548801
148	0.3109111143
149	0.3105971519
150	0.3099677268
151	0.3098143674
152	0.3094411057
153	0.308822889
154	0.3078688075
155	0.307648498
156	0.3073991497
157	0.3070477261
158	0.3066837011
159	0.3062847437
160	0.3058385099
161	0.304951057
162	0.3046125562
163	0.3040388943
164	0.3034163914
165	0.302635
166	0.3023334675
167	0.3022855051
168	0.3021156225
169	0.3017114575
170	0.301442307
171	0.3010462643
172	0.3008708311
173	0.3005401526
174	0.3004915902
175	0.3000610866
176	0.2998028444
177	0.2994768593
178	0.2990231032
179	0.2984461195
180	0.2982668287
181	0.2979376718
182	0.2974664067
183	0.2971488867
184	0.2970156938
185	0.2966929661
186	0.2963496862
187	0.2960666056
188	0.2954261866
189	0.2952525535
190	0.294137719
191	0.2939093515
192	0.2935010503
193	0.2932559238
