iter	Passed	Remaining
0	2	2408
1	5	2808
2	8	2785
3	10	2571
4	12	2443
5	14	2402
6	15	2268
7	17	2220
8	20	2273
9	23	2335
10	25	2308
11	27	2300
12	29	2272
13	32	2264
14	34	2254
15	36	2254
16	38	2212
17	40	2184
18	41	2166
19	43	2152
20	46	2161
21	48	2139
22	49	2109
23	52	2122
24	54	2126
25	56	2126
26	58	2121
27	61	2127
28	63	2114
29	65	2105
30	67	2111
31	70	2120
32	72	2116
33	74	2109
34	76	2097
35	77	2087
36	79	2076
37	81	2062
38	83	2068
39	86	2079
40	88	2072
41	90	2062
42	92	2055
43	94	2045
44	96	2040
45	98	2034
46	100	2044
47	102	2041
48	104	2023
49	105	2012
50	108	2010
51	110	2009
52	112	2005
53	114	2010
54	117	2014
55	119	2008
56	120	1999
57	121	1976
58	123	1970
59	125	1958
60	126	1953
61	128	1949
62	131	1961
63	147	2152
64	149	2151
65	151	2144
66	153	2137
67	155	2130
68	157	2119
69	159	2113
70	161	2108
71	163	2108
72	165	2107
73	167	2099
74	169	2091
75	171	2085
76	173	2078
77	176	2081
78	178	2084
79	181	2082
80	183	2080
81	185	2072
82	187	2070
83	189	2063
84	190	2055
85	192	2050
86	195	2049
87	197	2049
88	200	2047
89	202	2045
90	204	2040
91	206	2033
92	208	2033
93	211	2036
94	213	2033
95	215	2032
96	217	2025
97	219	2020
98	221	2017
99	223	2012
100	225	2011
101	228	2012
102	230	2006
103	232	2001
104	234	1996
105	236	1990
106	237	1985
107	238	1973
108	241	1974
109	243	1971
110	245	1962
111	246	1958
112	248	1954
113	250	1949
114	252	1941
115	254	1937
116	255	1929
117	258	1929
118	260	1927
119	262	1921
120	263	1917
121	266	1915
122	267	1910
123	269	1907
124	272	1904
125	274	1905
126	276	1901
127	278	1895
128	280	1893
129	282	1889
130	284	1884
131	285	1880
132	288	1877
133	290	1877
134	292	1873
135	294	1868
136	295	1863
137	297	1859
138	299	1856
139	301	1852
140	304	1852
141	306	1852
142	308	1847
143	310	1843
144	312	1840
145	314	1839
146	316	1834
147	317	1830
148	320	1832
149	322	1829
150	324	1825
151	326	1823
152	335	1856
153	337	1855
154	339	1851
155	341	1847
156	343	1843
157	345	1841
158	347	1838
159	349	1834
160	351	1832
161	354	1833
162	356	1830
163	358	1827
164	360	1823
165	362	1820
166	364	1817
167	366	1814
168	368	1814
169	371	1812
170	373	1808
171	375	1806
172	377	1802
173	379	1799
174	381	1796
175	383	1796
176	386	1796
177	388	1793
178	390	1791
179	392	1787
180	394	1784
181	396	1781
182	398	1780
183	401	1780
184	403	1778
185	405	1775
186	408	1775
187	410	1773
188	412	1771
