iter	MultiClass
0	2.30677688
1	2.225272889
2	2.157926323
3	2.096674688
4	2.043825146
5	1.996174023
6	1.954163188
7	1.913869849
8	1.877451505
9	1.847077469
10	1.816302098
11	1.786566423
12	1.76033923
13	1.735878161
14	1.71290121
15	1.694654109
16	1.675042427
17	1.657479194
18	1.639274131
19	1.623051943
20	1.607232579
21	1.594591763
22	1.578967386
23	1.565058631
24	1.552796969
25	1.540802871
26	1.528841215
27	1.519356882
28	1.511485186
29	1.501688789
30	1.493466578
31	1.482553612
32	1.472550506
33	1.465949115
34	1.458213176
35	1.450246302
36	1.442371026
37	1.436123656
38	1.428588185
39	1.421216495
40	1.415384139
41	1.407959066
42	1.402058275
43	1.396029842
44	1.391179498
45	1.386345255
46	1.382392572
47	1.375957586
48	1.371480705
49	1.366953495
50	1.361998327
51	1.356998531
52	1.35359382
53	1.349112948
54	1.345403597
55	1.34112391
56	1.338224496
57	1.335145997
58	1.332724071
59	1.32990214
60	1.325417989
61	1.322902135
62	1.319774924
63	1.316471186
64	1.31428691
65	1.310911188
66	1.308205131
67	1.305481979
68	1.302805922
69	1.299315095
70	1.296281928
71	1.293218899
72	1.290813805
73	1.287779114
74	1.286619112
75	1.283895959
76	1.282290734
77	1.279712444
78	1.277323151
79	1.275551757
80	1.273747581
81	1.271588552
82	1.268948153
83	1.266184435
84	1.263607428
85	1.261719326
86	1.259523261
87	1.257537395
88	1.255581043
89	1.253750215
90	1.251273208
91	1.248925629
92	1.247553748
93	1.245932127
94	1.244399415
95	1.242499893
96	1.241372764
97	1.239266864
98	1.2375118
99	1.235714418
100	1.235148949
101	1.233542
102	1.231503781
103	1.229698696
104	1.228222086
105	1.227106453
106	1.224993435
107	1.223920769
108	1.221757747
109	1.220057527
110	1.218222898
111	1.217142878
112	1.215272826
113	1.213817507
114	1.212135472
115	1.210911201
116	1.209828586
117	1.208299769
118	1.206664127
119	1.205422274
120	1.204106339
121	1.203091786
122	1.201709075
123	1.200352052
