iter	Passed	Remaining
0	20	10264
1	40	10177
2	60	9989
3	79	9808
4	97	9668
5	116	9566
6	134	9470
7	154	9481
8	173	9471
9	192	9419
10	211	9384
11	229	9348
12	248	9312
13	267	9268
14	285	9242
15	304	9219
16	323	9202
17	343	9202
18	363	9200
19	382	9176
20	400	9137
21	420	9134
22	439	9120
23	459	9114
24	480	9121
25	500	9126
26	522	9152
27	542	9140
28	562	9132
29	583	9143
30	603	9127
31	623	9114
32	643	9104
33	663	9091
34	682	9073
35	702	9057
36	723	9048
37	742	9030
38	762	9011
39	782	8996
40	802	8978
41	821	8956
42	839	8925
43	859	8905
44	879	8888
45	898	8866
46	918	8849
47	937	8827
48	956	8800
49	975	8778
50	994	8757
51	1013	8733
52	1032	8711
53	1052	8693
54	1072	8678
55	1091	8657
56	1110	8632
57	1130	8612
58	1150	8600
59	1170	8580
60	1189	8557
61	1208	8538
62	1227	8514
63	1246	8492
64	1265	8468
65	1284	8447
66	1303	8421
67	1322	8400
68	1340	8371
69	1358	8348
70	1378	8330
71	1397	8309
72	1416	8288
73	1435	8263
74	1455	8246
75	1474	8228
76	1494	8208
77	1514	8191
78	1534	8178
79	1554	8160
80	1574	8143
81	1593	8125
82	1614	8109
83	1633	8089
84	1653	8072
85	1673	8054
86	1692	8035
87	1711	8015
88	1731	7996
89	1751	7978
90	1771	7960
91	1790	7941
92	1810	7922
93	1829	7903
94	1849	7883
95	1869	7866
96	1888	7846
97	1907	7823
98	1925	7801
99	1946	7784
100	1965	7764
101	1984	7743
102	2004	7724
103	2024	7707
104	2044	7691
105	2065	7678
106	2085	7660
107	2105	7641
108	2125	7623
109	2145	7607
110	2165	7590
111	2185	7570
112	2204	7550
113	2223	7529
114	2242	7506
115	2262	7490
116	2282	7472
117	2302	7453
118	2321	7432
119	2340	7412
120	2359	7390
121	2379	7373
122	2399	7355
123	2419	7337
124	2439	7318
125	2459	7299
126	2479	7282
127	2499	7263
128	2519	7246
129	2539	7228
130	2558	7207
131	2580	7193
132	2601	7177
133	2621	7160
134	2642	7143
135	2663	7128
136	2684	7114
137	2704	7095
138	2725	7078
139	2746	7062
140	2767	7046
141	2788	7029
142	2808	7012
143	2829	6994
144	2849	6977
145	2869	6957
146	2890	6941
147	2909	6919
148	2929	6900
149	2948	6879
150	2968	6860
151	2988	6841
152	3007	6820
153	3026	6799
154	3045	6779
155	3065	6760
156	3084	6738
157	3104	6719
158	3124	6700
159	3145	6683
160	3164	6664
161	3184	6645
162	3203	6624
163	3223	6605
164	3243	6584
165	3263	6565
166	3282	6544
167	3300	6523
168	3320	6504
